channel_id,channel_title,subscribers,thumbnail,category,subscribers_numeric
UCYJPby9DRCteedh5tfxVbrw,Smosh Pit,9010000,https://yt3.ggpht.com/ytc/AIdro_nDJMhbSFpETCCo4uyCvtmHpkz9J2affqvGoSf3pkCjz9o=s88-c-k-c0x00ffffff-no-rj,"Film, Entertainment, Television program",9010000
UCEyodonqP_80YrDvattntmw,SmoshCast,880000,https://yt3.ggpht.com/DCTe_G1gghiGEVUhOnH_ld_uFKh3XVSxRvcWWqTvadDJN_SKVTn2lBqxBZgqOMpeAmVgFod_vfk=s88-c-k-c0x00ffffff-no-rj,"Entertainment, Film",880000
UCNUzWfHUP_iXZ1GMHz8gBgw,ryukahr,822000,https://yt3.ggpht.com/ytc/AIdro_lFTx3_xD8bCfUl8Nnhla8Sf9k0qaVm6a_Q-4yiGdT8OAw=s88-c-k-c0x00ffffff-no-rj,"Action game, Video game culture, Puzzle video game",822000
UCJ2ZDzMRgSrxmwphstrm8Ww,Smosh Games,8280000,https://yt3.ggpht.com/ytc/AIdro_noAvfLiftnnGZwsTFt6GD4UKSxhNJRIUWntPUL47rziiXo=s88-c-k-c0x00ffffff-no-rj,"Film, Entertainment, Television program",8280000
UCCWeRTgd79JL0ilH0ZywSJA,AlphaPhoenix,641000,https://yt3.ggpht.com/ytc/AIdro_lAubzuua0Ymk5ZM4jL7_z4yhbKVfzHkKiISlbOH7KoA_Q=s88-c-k-c0x00ffffff-no-rj,"Technology, Hobby, Lifestyle (sociology), Knowledge",641000
UC6I0KzAD7uFTL1qzxyunkvA,Blacktail Studio,3360000,https://yt3.ggpht.com/ytc/AIdro_nfMDBCXeTAtZBXz4kx4hpD_Pm66dk3meC1GzBOcJS8j_8=s88-c-k-c0x00ffffff-no-rj,"Hobby, Lifestyle (sociology)",3360000
UCSju5G2aFaWMqn-_0YBtq5A,Stand-up Maths,1320000,https://yt3.ggpht.com/ytc/AIdro_kH1XY27N-S65HtyJ97eLeiYGSqanZuuVP2NgTzBt081h4=s88-c-k-c0x00ffffff-no-rj,"Lifestyle (sociology), Knowledge",1320000
UCeTfBygNb1TahcNpZyELO8g,Jacob Geller,1460000,https://yt3.ggpht.com/oEvJp21jyoK8viSJQZsoIB4TpDmXsRBjOfMybj8azcfgCQ6dkQ8uP6Fg4nyYUCosnYhYzTlc=s88-c-k-c0x00ffffff-no-rj,"Action game, Action-adventure game, Video game culture, Role-playing video game",1460000
UCssfmol6PX3O8vx9YePy3bQ,MH Anything,46300,https://yt3.ggpht.com/nksoon9GdPnfM4fW_Lyo7u0dJEG8NlcB4Nn6kpkNUuF7z9eCP46jEp9A_7iczGzh_oAFZ91Qhw=s88-c-k-c0x00ffffff-no-rj,"Lifestyle (sociology), Hobby",46300
UCckETVOT59aYw80B36aP9vw,MatthiasWandel,1720000,https://yt3.ggpht.com/xRWe4uxC6rH5CdRTEAGDI7SmBjtzqaUAZFbcksEL8AUKNeyjlCWj_RTZs6owUDdoIXqWEdYzB4g=s88-c-k-c0x00ffffff-no-rj,"Lifestyle (sociology), Hobby",1720000
UCjq6e7k_pkOkrBD2Qieqxnw,Wide Boyz,252000,https://yt3.ggpht.com/ytc/AIdro_mmP1IQ9kF2jEqHdUkSbnUon48gUJFU2vz_n0LBUO5E8IE=s88-c-k-c0x00ffffff-no-rj,"Hobby, Lifestyle (sociology)",252000
UCa_aLyHBN8zuisUpHDjmBbw,elliotisacoolguy,328000,https://yt3.ggpht.com/M1_7yE_luDW6tYl0kBEdfnm20epb7ZOkLUH7wplJQmxfb7jpDLuEmFMQuLATAPDjYxjG37cx1-g=s88-c-k-c0x00ffffff-no-rj,"Lifestyle (sociology), Hobby",328000
UCBJycsmduvYEL83R_U4JriQ,Marques Brownlee,20500000,https://yt3.ggpht.com/PEwQfVuhh5jO7_NDDufCq349q0W6MgZeYlgeMyW3OSRMxMx9W5yre5Fgbi4Bql56L1cPwoteOA=s88-c-k-c0x00ffffff-no-rj,"Lifestyle (sociology), Technology",20500000
UCIcGc8tDHYZ3vY3NcS8JXaQ,b2studios,340000,https://yt3.ggpht.com/HGzfA9GosmNdmCSbj5ooay0HQ8pmqV1MI8owCo46INvi6dVoKI68esgsXxUntvJgG3lET9Zp=s88-c-k-c0x00ffffff-no-rj,"Action-adventure game, Video game culture",340000
UCCk6atPf8zBPd-5C7rgEkRg,Gneiss Name,225000,https://yt3.ggpht.com/ESG_JJsdoZHcTvjLtqleLsY5imybu1N2zL8lqEmdR5xJn91Wx8uz28yPGuYachNuO8XqmXLV=s88-c-k-c0x00ffffff-no-rj,"Role-playing video game, Video game culture, Action-adventure game",225000
UCl_dlV_7ofr4qeP1drJQ-qg,Tantacrul,457000,https://yt3.ggpht.com/ytc/AIdro_kfBfBABvGzPoazpxLm35feN55rYWbc9dxVyvCUCzstZwU=s88-c-k-c0x00ffffff-no-rj,"Classical music, Music, Lifestyle (sociology)",457000
UCWFKCr40YwOZQx8FHU_ZqqQ,JerryRigEverything,9700000,https://yt3.ggpht.com/ytc/AIdro_lgA3xMKNY0-d05dSmj3zt7CeTS1QSS5jVgOWqD03VsSm4=s88-c-k-c0x00ffffff-no-rj,"Lifestyle (sociology), Technology",9700000
UCmEmX_jw_pRp5UbAdzkZq-g,Posy,445000,https://yt3.ggpht.com/5NEhVt_-6LxLftewkBaMA8L22XGj3U_vLxrLd2RgZ-m6FdK-Jj6FtmrhRC9BEDlHD5ThHpFDhg=s88-c-k-c0x00ffffff-no-rj,"Music, Lifestyle (sociology), Technology, Electronic music, Hobby",445000
UCUuMYw2l2UeWyTGYixYfRCA,Evan and Katelyn,1590000,https://yt3.ggpht.com/dN1B1qktA9cCZ_9fgoJBEFkif_fMiGOi0slDu0-HvsMKXPsc711CDQzOvv1F2QFzzPjL2QjbaQ=s88-c-k-c0x00ffffff-no-rj,"Hobby, Lifestyle (sociology)",1590000
UCiDJtJKMICpb9B1qf7qjEOA,Adam Savage’s Tested,7060000,https://yt3.ggpht.com/ytc/AIdro_lJNRS5W3nnMhU5L_V3Nl2zqoJTh1POU3hrHSYYIzLCycE=s88-c-k-c0x00ffffff-no-rj,"Lifestyle (sociology), Hobby",7060000
UCUW49KGPezggFi0PGyDvcvg,Zack Freedman,635000,https://yt3.ggpht.com/ytc/AIdro_k2c1MpMfLIlHhUWsDLTVLeFHDllwuDfh_LoATuRHujvgDu=s88-c-k-c0x00ffffff-no-rj,"Technology, Lifestyle (sociology), Hobby",635000
UCaN8DZdc8EHo5y1LsQWMiig,Big Joel,779000,https://yt3.ggpht.com/ytc/AIdro_nqtI9gpGae3H7wiYk8bBTfo4L35Iq4j8FJGoJhOzCp8vE=s88-c-k-c0x00ffffff-no-rj,"Film, Entertainment, Society",779000
UC6qEdtxp_IAaVrNAHUIhHbQ,Maths Town,142000,https://yt3.ggpht.com/db7q6DzJ-72Y9lOZRBWZPL5iX3peqUAwkmceu0zItyPZDN7-wg6kdHzlgXLKxi5nrEEwc72m=s88-c-k-c0x00ffffff-no-rj,"Music, Electronic music, Lifestyle (sociology)",142000
UCTSRIY3GLFYIpkR2QwyeklA,Drew Gooden,4640000,https://yt3.ggpht.com/ytc/AIdro_k6nOBtpDfkW6O9KBWiLn7LhKsXfOuo_ikV8Gyjf6l_QFo=s88-c-k-c0x00ffffff-no-rj,"Film, Lifestyle (sociology), Entertainment",4640000
UCfdou9on-KX7zw2MQXSzfGQ,Rhett McLaughlin,40200,https://yt3.ggpht.com/lxKQMZw3y8lHA2TQGMjE0f08ROEImn0CRxbzq6A58Nj17B4JNca4Swm8yRS7TmDe9wf3pyyvVw=s88-c-k-c0x00ffffff-no-rj,@rhettmclaughlin,40200
UCmHCNoUXWAFuzxWJdX2d99w,Scott Cramer,949000,https://yt3.ggpht.com/21sp8KJ8mgZwy5Hj7PCdmZomQeDo3TDXSBbD2HcISe0k6-oXuJ6dXCZbA9eTAATQr6dPLmGqHQ=s88-c-k-c0x00ffffff-no-rj,"Film, Entertainment, Lifestyle (sociology), Television program",949000
UCn7lavsPdVGV0qmEEBT6NyA,Marius Hornberger,527000,https://yt3.ggpht.com/VgQONDICT0cyGggS7kl75PBuPZkp2udlROAm8djERhoUfSR_rgDL8ZhxnlOi4X1lmt-rzsBc=s88-c-k-c0x00ffffff-no-rj,"Hobby, Lifestyle (sociology)",527000
UCnmGIkw-KdI0W5siakKPKog,Ryan Trahan,21700000,https://yt3.ggpht.com/fiJrCXLTjjY531uelhbpUD21Cb0iMb6vF21M6-H7ZhjMZPe2cAkIeB9yWUHtENkFhq1F3oVbgg=s88-c-k-c0x00ffffff-no-rj,"Entertainment, Lifestyle (sociology)",21700000
